Date,Owner,Repository,Path,Count,Uniques
2025-07-28T12:49:53.936Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk/blob/main/configs/config.json,1,1
2025-07-28T12:49:53.936Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk/tree/main/configs,1,1
2025-07-28T12:49:53.936Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk/tree/main/internal,1,1
2025-08-11T11:50:12.103Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk,4,2
2025-08-11T11:50:12.103Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk/pulls,1,1
2025-08-25T11:52:18.624Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk,2,2
2025-08-25T11:52:18.624Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk/fork,2,1
2026-01-12T13:45:46.476Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk,10,3
2026-01-12T13:45:46.476Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk/tree/main/configs,3,2
2026-01-12T13:45:46.476Z,mongodb,atlas-architecture-go-sdk,/mongodb/atlas-architecture-go-sdk/blob/main/configs/config.json,1,1
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix,392,334
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/tree/main/server,79,59
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/tree/main/server/src,62,45
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/blob/main/server/src/config/database.ts,41,24
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,/mongodb/sample-app-nodejs-mflix/tree/main/client,37,26
